region_id,region_name_bn,symbol_name,symbol_total_votes,region_total_votes,vote_percentage
1,বরিশাল,ধানের শীষ,2150289,4513248,47.64
1,বরিশাল,দাঁড়িপাল্লা,1058978,4513248,23.46
1,বরিশাল,হাতপাখা,660170,4513248,14.63
1,বরিশাল,ঈগল,108302,4513248,2.4
1,বরিশাল,গরুর গাড়ী,105543,4513248,2.34
1,বরিশাল,ট্রাক,101776,4513248,2.26
1,বরিশাল,ঘোড়া,97580,4513248,2.16
1,বরিশাল,ফুলকপি,57351,4513248,1.27
1,বরিশাল,ফুটবল,45311,4513248,1
1,বরিশাল,শাপলা কলি,36616,4513248,0.81
1,বরিশাল,মই,22700,4513248,0.5
1,বরিশাল,লাঙ্গল,21468,4513248,0.48
1,বরিশাল,দেওয়াল ঘড়ি,21217,4513248,0.47
1,বরিশাল,বাইসাইকেল,12313,4513248,0.27
1,বরিশাল,মোটর সাইকেল,3721,4513248,0.08
1,বরিশাল,মোটরগাড়ি (কার),2015,4513248,0.04
1,বরিশাল,জাহাজ,1276,4513248,0.03
1,বরিশাল,হাঁস,1139,4513248,0.03
1,বরিশাল,আম,1118,4513248,0.02
1,বরিশাল,প্রজাপতি,546,4513248,0.01
1,বরিশাল,হেলিকপ্টার,508,4513248,0.01
1,বরিশাল,সিংহ,502,4513248,0.01
1,বরিশাল,ছড়ি,413,4513248,0.01
1,বরিশাল,ছাতা,381,4513248,0.01
1,বরিশাল,মোরগ,345,4513248,0.01
1,বরিশাল,চেয়ার,303,4513248,0.01
1,বরিশাল,কাঁচি,300,4513248,0.01
1,বরিশাল,হারিকেন,244,4513248,0.01
1,বরিশাল,ডাব,219,4513248,0
1,বরিশাল,তারা,215,4513248,0
1,বরিশাল,সূর্যমুখী ফুল,134,4513248,0
1,বরিশাল,কাঁঠাল,115,4513248,0
1,বরিশাল,কলস,77,4513248,0
1,বরিশাল,কলম,63,4513248,0
2,চট্টগ্রাম,ধানের শীষ,7293747,13816517,52.79
2,চট্টগ্রাম,দাঁড়িপাল্লা,3841451,13816517,27.8
